ISBN-13,Title,Author,Publisher,Description,NYT Review Link,Most Recent Bestseller Date,Most Recent Rank,Number of Weeks on List
9.78014E+12,"1,000 PLACES TO SEE BEFORE YOU DIE",Patricia Schultz,Workman,A guide for traveling the world; second edition updated with new entries.,,3/28/2015,10,0
9.78044E+12,Amsterdam: A Novel,Ian McEwan,,,https://www.nytimes.com/1998/12/27/books/publish-and-perish.html,null,null,null
9.78044E+12,Merrick (Vampire/Witches Chronicles),Anne Rice,,,https://www.nytimes.com/2000/12/17/books/books-in-brief-fiction-poetry-570770.html,null,null,null
9.78045E+12,The Bookseller of Kabul,Asne Seierstad,,, https://www.nytimes.com/2003/12/21/books/the-war-at-home.html,null,null,null
9.78006E+12,"THE WALKING DEAD, BOOK 1","Robert Kirkman, Tony Moore and Charlie Adlard",Image Comics,This collected edition features the first 12 issues of the gripping series about the last human survivors in a world overrun by zombies.,,3/28/2015,8,117
9.78031E+12,Housekeeping: A Novel,Marilynne Robinson,,,https://www.nytimes.com/1981/02/08/books/pleasure-and-loss.html,null,null,null
9.78068E+12,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,,,https://www.nytimes.com/2002/04/07/books/oops.html,null,null,null
9.78006E+12,The Plot Against America,Philip Roth,,,https://www.nytimes.com/2004/10/03/books/review/the-plot-against-america.html,null,null,null
9.78069E+12,Truth & Beauty: A Friendship,Ann Patchett,,,https://www.nytimes.com/2004/05/16/books/do-you-love-me.html,null,null,null
9.78031E+12,"The Queen of Attolia (The Queen's Thief, Book 2)",Megan Whalen Turner,,,https://www.nytimes.com/2000/08/13/books/children-s-books-526223.html,null,null,null
9.78039E+12,THUNDERSTRUCK,Erik Larson,Broadway,"Intertwined stories of early-20th-century murder and scientific intrigue, by the author of ""The Devil in the White City""; first published in 2006.",https://www.nytimes.com/2006/11/05/books/review/Baker.t.html,5/30/2015,11,0
9.78045E+12,"Swann's Way: In Search of Lost Time, Vol. 1 (Penguin Classics Deluxe Edition)",Marcel Proust,,,https://www.nytimes.com/2004/01/25/books/the-shape-of-time.html,null,null,null
9.78035E+12,Spook: Science Tackles the Afterlife,Mary Roach,,,https://www.nytimes.com/2005/10/09/books/review/spook-ghost-trusters.html,null,null,null
9.78074E+12,"WHEREVER YOU GO, THERE YOU ARE",Jon Kabat-Zinn,Hyperion,,,6/27/2015,13,0
9.78014E+12,A Long Way From Chicago (Puffin Modern Classics),Richard Peck,,,https://www.nytimes.com/1999/03/14/books/children-s-books-bookshelf-622931.html,null,null,null
9.78045E+12,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,,,https://www.nytimes.com/2004/09/05/books/review/05ANGIERL.html,null,null,null
9.78067E+12,Fever Pitch,Nick Hornby,,,https://www.nytimes.com/1994/06/19/books/just-for-kicks.html,null,null,null
9.78032E+12,The Oresteia: Agamemnon; The Libation Bearers; The Eumenides,Aeschylus,,,https://www.nytimes.com/1999/09/05/books/after-the-trojan-horse.html,null,null,null
9.78044E+12,THE MOTHER TONGUE,Bill Bryson,William Morrow,A celebration of the resilience of the English language; first published in 1990 and just reissued.,,6/27/2015,2,0
9.78062E+12,THE DIRT,"Tommy Lee, Vince Neil, Mick Mars, Nikki Sixx and Neil Strauss",Dey St.,The story of Mötley Crüe as told by the four original members of the band.,,4/13/2019,15,3
9.78038E+12,Pedro Paramo (Idiomas Y Literatura) (Spanish Edition),Juan Rulfo,,,https://www.nytimes.com/1995/08/06/books/thoughts-after-death.html,null,null,null
9.78055E+12,A SUPPOSEDLY FUN THING I'LL NEVER DO AGAIN,David Foster Wallace,"Little, Brown",,https://www.nytimes.com/1997/03/16/news/a-supposedly-fun-thing-i-ll-never-do-again.html,10/4/2008,26,0
9.78014E+12,Pompeii: A Novel,Robert Harris,,,https://www.nytimes.com/2003/12/21/books/the-age-of-aquarii.html,null,null,null
9.78045E+12,Saving Fish from Drowning: A Novel (Ballantine Reader's Circle),Amy Tan,,,https://www.nytimes.com/2005/10/16/books/review/16solomon.html,null,null,null
9.78062E+12,Teacher Man: A Memoir,Frank McCourt,,,https://www.nytimes.com/2005/12/04/books/review/04yagoda.html,null,null,null
9.78014E+12,Behind the Scenes at the Museum: A Novel,Kate Atkinson,,,https://www.nytimes.com/1996/03/31/books/yorkshire-terrors.html,null,null,null
